EMP_NO,EMP_NAME,BAND,NB_FROM,AGEING_BUCKET,ONSITE_OFFSHORE,Location,EXPERIENCE,ROLE_NAME,COUNTRY,Skills_from_iAspire,CERTIFIED_SKILLS,TRAINED_SKILLS,RECENT_SKILL,LANGUAGE_SKILL,ROLE_CLUSTER_NAME
8065,Employee8065,WILP,30-03-2026,16-30 DAYS,OFFSHORE,PUNE,0Years 0Months,Administrator L1,INDIA,"C Programming(L2), Computer Networking, Database Management System, Java(L2), Programming(L2)",,,,,
8066,Employee8066,WILP,30-03-2026,16-30 DAYS,OFFSHORE,CHENNAI,0Years 0Months,Administrator L1,INDIA,"Active Directory, Adaptability(L5), Advanced Logic, Artificial Intelligence, C++, Cloud Services, Cloud-Microsoft Azure, Communication(L5), Computer Hardware, Computer Science, Core Java, CPython, CSS, Customer Service, Database, Debugging, Design, Food Delivery, Front End, HTML(L5), Language Skills(L5), Linux(L5), Management(L5), Microsoft Excel, Microsoft Office, Microsoft Word, Networking(L5), Powerpoint, Problem Solving(L5), Programming, Programming Languages, Project Delivery(L5), Python, RDBMS(L5), Technical Support, Time Management(L5), Training(L1), Troubleshooting, Unix(L5), Virtual Machine(L5), Vm Ware(L5), Web Development(L5), Windows 7",,,,,
8067,Employee8067,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Active Directory(L2), Azure Web Services(L2), Business Development(L2), Business Intelligence(L1), C(L2), Cloud Network Security(L2), Cloud Services(L2), Cloud-Microsoft Azure(L2), Computer Networking(L2), CSS(L2), Data Analytics(L1), Data Center Operations(L2), DNS - Domain Name Service(L2), Generative AI(L2), Group Policy Management(L2), HTML(L2), Informatica Intelligent Cloud Services(L2), Java(L1), JavaScript(L2), Microsoft Power BI(L2), Middleware(L2), MySQL(L2), Network Analysis(L2), Object-Oriented Programming(L1), Office 365 Administration(L2), Operating Systems(L1), Power Bi Dashboard(L2), Python(L2), RDBMS(L2), Responsive User Interface Design(L1), SDLC(L2), Server Configuration(L1), SQL(L2), Stuctured Query Language(L2), Virtualization Security(L2), Virtualization(L2), WordPress(L1), XML(L2)",,,,,
8068,Employee8068,GROUP B3,15-04-2026,8-15 DAYS,OFFSHORE,HYDERABAD,10Years 0Months,Technical Lead L1,INDIA,"Agile(L5), Amazon EC2(L3), Amazon EKS(L2), Amazon Relational Database Services(L2), Amazon Web Services (AWS)(L2), Apache Kafka(L4), Apache Maven(L5), API Gateway(L4), API Integration(L3), Aws Elastic Beanstalk(L2), Aws(L2), BlackDuck(L5), DAST Scan(L4), Docker(L4), Eclipse IDE(L5), Fortify Software(L5), Full Stack Development(L3), Generative AI Copilot(L4), GitLab, Gradle(L5), GraphQL, Hibernate(L5), HTML(L3), IntelliJ(L5), Java 17(L3), Java 8(L4), Java Persistence API(L2), Java Spring Boot(L4), Java-J2ee(L4), JavaScript(L4), Kibana(L4), Kubernetes(L4), Layouting, Linux(L2), Microservices Architecture(L4), MongoDB(L2), Multithreading(L4), MVC Architecture(L4), MySQL(L3), Oracle(L4), PostgreSQL(L4), RabbitMQ(L3), React JS(L4), Reactive Programming, Rest API Development(L3), REST API(L5), Salesforce Marketing Cloud, Security Compliance(L3), Semantic UI(L2), Spring Boot(L5), Spring Data JPA(L4), Spring Security(L3), Spring Webflux(L3), Spring(L4), TypeScript(L3), Visual Studio Code(L4), Web Services(L3)",,,,,
8069,Employee8069,WILP,30-03-2026,16-30 DAYS,OFFSHORE,PUNE,0Years 0Months,Administrator L1,INDIA,"Active Directory(L4), Analysis, Bengali, C, Cloud Computing(L3), Computer Applications, Computing, Crop Production, Data Structures(L3), Database, Decision Making, Demonstrations, Deployments, English(L4), Hindi Language, Implementation, Language Skills, Machine Learning(L3), Matplotlib, Mean Software, ML/I, MySQL(L3), Object-Oriented Programming(L3), Pandas, Prediction, Problem Solving, Programming(L3), Project Implementation, Python(L4), scikit-learn, SQL Database(L3), SQL(L3), Technical Proficiency, Unix Shell Programming(L3), Visualization(L3), Vmware(L4)",,,,,
8070,Employee8070,GROUP B3,03-04-2026,16-30 DAYS,ONSITE,TORONTO,15Years 4Months,Developer L4,CANADA,"Agile Methodologies(L3), Business Analysis(L3), IBM DataStage(L3), Markit Edm(L5), Microsoft SQL Server(L5), Oracle Database(L3), SDLC(L4), Software Development(L5), SQL(L5), Technical Consultancy(L3)",,"NA(NA),WEGA for AI(L0),WEGA for AI(L0)",,,DEVELOPER L4
8071,Employee8071,GROUP B2,10-04-2026,16-30 DAYS,OFFSHORE,HYDERABAD,6Years 0Months,DevOps Engineer L3,INDIA,"Agile, Agile Scrum, Agile Scrum Methodology, Apache Maven, Automation, Autoscaling, Balancing, Bash, Centralized Monitoring, Clear Pipelines, Cloud Build, Cloud Infrastructure, Cloud Monitoring, Cloud Platforms, Cloud SQL, Cloud Storage Software, Code Quality, Coding, Collaboration, Communication, Computer Engineering, Computing, Containerization, Continuous Integration, Cost Management, Cost Optimization, Cross Functional Skills, Deployment Automation, Deployments, Design, DevOps, DevOps Automation, DevOps Engineer, Docker, Docker Orchestration, Efficiency, Encryption, Engineering, Error Reporting, Firewalls, GCP DevOps, Git, GitHub, Google Cloud Platform, Google Kubernetes Engine, Grafana, Hand Saw, Helm, Identity and Access Management, Infrastructure, Infrastructure as Code, Issue Resolution, Jenkins, Kubernetes, Load Balancing, Log Monitoring, Logging, Management, Methodology, Microservices, Microsoft Access, Migration, Monitoring, Network Address Translation, Networking, Operational Efficiency, Operations, Optimization Strategies, Orchestration, Pipeline Design, Point Clouds, Production Deployment, Programming, Prometheus, Provisioning, Python, Quality Framework, Reporting, Resiliency Framework, Retail, Revenue Management, Rolling, Sales, Scanning, Scripting, Scrum, Scrum Methodology, Security, Security Access Management, Security Practices, Service Accounts, Slack Software, Software Engineer, Solutioning, SonarQube, SQL, Stackdriver, Standardization, Storage, Teamwork, Technology (Alight It), Terraform, Troubleshooting, Uptime, Versioning, Virtual Private Network, YAML",,,,,
8072,Employee8072,WILP,30-03-2026,16-30 DAYS,OFFSHORE,PUNE,0Years 0Months,Administrator L1,INDIA,"Amazon Web Services (AWS)(L2), ASP.NET, Bootstrap(L3), C++(L3), Core Java(L4), CSS(L4), HTML(L4), JavaScript(L2), MongoDB(L2), MySQL(L4), PHP(L3), Python(L3), React JS(L3), Spring Boot(L2), SQL(L4)",,,,,
8073,Employee8073,GROUP B2,12-02-2026,31-60 DAYS,OFFSHORE,COIMBATORE,7Years 5Months,Developer L3,INDIA,"Agile Methodologies(L3), Automation Testing(L2), Functional Testing(L4), Java(L2), Manual Testing(L4), Page Object Model(L2), TestNG(L2)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2)","AMAZON WEB SERVICES - AWS(L1),Amazon Web Services - AWS(L1),Amazon Web Services - AWS(L1),English Language(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),HTML 5(),HTML 5(L2),NA(NA),Selenium(L1),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,Test Automation Engineer Java Selenium - L3
8074,Employee8074,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Aws, Aws EC2, Aws S3, Billing Systems, Cloud Operations, Cloud Security Basics, Cloud Services, Cloud-Microsoft Azure, Computer Networking, Leadership, Linux Commands, Linux Server, Management, Microsoft Active Directory, Microsoft Excel, Microsoft Office, Python, SQL, Teamwork",,,,,
8075,Employee8075,WILP,30-03-2026,16-30 DAYS,OFFSHORE,COIMBATORE,0Years 0Months,Administrator L1,INDIA,"C Language, C++, Cloud Computing, Dbms, Java, Linux, Networking, Operating System, SQL, Virtualization",,,,,
8076,Employee8076,GROUP B2,11-02-2026,61-90 DAYS,OFFSHORE,CHENNAI,5Years 5Months,Test Engineer L3,INDIA,"Application Lifecycle Management(L4), CTM(L4), Defect Tracking(L4), Jira(L4), Manual Testing(L4), Postman(L3), Regression Testing(L4), Report Generation(L4), SAP Testing(L4), SQL(L3), Test Automation(L4), Test Case Design(L4), Test Cases(L4), Test Planning(L4), Tricentis Tosca(L3), Web Application Testing(L4)",,"WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,TEST AUTOMATION ENGINEER SAP WORKSOFT - L3
8077,Employee8077,WILP,30-03-2026,16-30 DAYS,OFFSHORE,PUNE,0Years 0Months,Administrator L1,INDIA,"CSS(L4), Django(L4), Git(L4), HTML(L4), MySQL(L4), PostgreSQL(L4), Python(L4), React JS(L3), REST API(L4), Software Development(L4), SQL(L4), Tailwind CSS(L4)",,,,,
8078,Employee8078,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Academic Writing(L1), Algorithms(L1), Analytics(L1), Application Performance Management(L1), Aws Cloud Management, Back End Development(L1), Business Studies(L1), C++(L1), Cloud Computing, Cloud-Microsoft Azure, Coding(L1), Communication(L1), Computer Applications(L1), Computer Networking, Core Java(L1), CSS(L1), Data Structures(L1), Debugging(L1), English(L1), HTML(L1), ITIL, JavaScript(L1), Linux Server Configuration, Mathematics(L1), MySQL(L1), Network Configuration, Network IT, Network Security, PHP(L1), Problem Solving(L1), Teamwork(L1), Technical Knowledge(L1), Technical Proficiency(L1), Virtualization, Web Applications(L1), Web Development(L1), Windows Server",,AMAZON WEB SERVICES - AWS(L1),,,
8079,Employee8079,WILP,30-03-2026,16-30 DAYS,OFFSHORE,PUNE,0Years 0Months,Administrator L1,INDIA,"Analysis(L5), API Integration(L4), Back End Development(L3), Communication(L5), CRUD(L3), CSS(L4), Data Analysis(L5), Data Analytics(L5), Data Visualization(L5), Database Connection(L3), Django(L2), Fastapi(L4), Git Version Control(L5), HTML(L4), Jupyter Notebook(L3), Leadership(L5), Microsoft Excel(L3), Microsoft Power BI(L4), Numpy(L3), Pandas(L3), Postman Software(L3), Problem Solving(L5), Psycopg2(L2), Python(L5), Research(L4), REST Framework(L3), Sales Analysis(L3), Sales(L3), SQL Database(L4), SQL(L5), Swagger UI(L4), Teamwork(L5), Visualization(L5)",,,,,
8080,Employee8080,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Artificial Intelligence(L2), C++(L3), Coding(L3), Communication(L4), Computer Applications(L2), CSS(L3), Data Science(L2), Data Storage(L2), Deployments(L3), Express.js(L1), Git, GitHub(L3), HTML(L4), JavaScript(L3), Management(L3), MongoDB(L2), Node.js(L2), Python(L4), React JS(L2), Responsive User Interface Design(L3), Socket.IO(L2), Tailwind CSS(L2), Tailwind(L3), Web Skills(L3)",,,,,
8081,Employee8081,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Backend Web Development, C++, Cloud Data Center, Communication(L3), Conflict Resolution(L4), Database Management, Dbms(L2), Front End Web Development(L3), Information Technology, Java(L2), JavaScript(L3), Microsoft Excel, MySQL(L3), Oracle Database(L2), Oracle SQL(L3), PHP(L3), phpMyAdmin, PostgreSQL, Problem Solving and Decision Making(L3), Python(L2), React JS, Software Engineering(L1)",,,,,
8082,Employee8082,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Ai&ml(L2), C Language(L2), CDC(L2), CSS(L2), Data Structures(L2), Dbms(L2), Effective Communication(L3), HTML(L2), Java(L2), Networking(L2), Operating System(L2), PHP(L2), Problem Solving(L3), Project Delivery(L2), Python(L3), SQL(L3)",,,,,
8083,Employee8083,WILP,30-03-2026,16-30 DAYS,OFFSHORE,COIMBATORE,0Years 0Months,Administrator L1,INDIA,"Adapdabilty(L3), Algorithms(L3), Analysis(L4), Cloud Computing(L3), Coding, Communication(L4), Computer Applications(L4), Computer Vision(L3), Data Analysis(L3), Data Science(L3), Data Visualization(L4), Decision Making(L4), Deep Learning(L2), Eda, English(L4), Feature Engineering(L3), Hindi Language(L5), Language(L4), Leadership(L4), Machine Learning(L3), Natural Language Processing(L3), Natural(L3), Problem Solving(L4), Programming(L3), Python(L3), Quick Learner(L5), SQL(L3), Teamwork(L4), Time Management(L5), Visualization(L4)",,,,,
8084,Employee8084,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Collaboration(L5), Communication(L5), Continuous Learning(L4), Core Java(L4), Critical Thinking(L4), Database Management System(L4), Database(L4), English(L4), Hindi Language(L5), HTML(L4), Language Learning(L4), Language(L5), Management(L4), Networking(L4), Object-Oriented Programming(L4), Operating Systems(L3), Problem Solving(L4), Programming Languages(L4), Programming(L4), Reading(L5), Software Development(L4), SQL Database(L5), SQL(L5), Teamwork(L4), Training(L4), Web Development(L4)",,,,,
8085,Employee8085,GROUP B2,01-01-2026,61-90 DAYS,OFFSHORE,BENGALURU,8Years 8Months,Test Engineer L3,INDIA,"Administration(L2), Agile-Scrum(L2), Analyzer Software, Artificial Intelligence(L2), Assurance(L2), Automation(L2), Banking, Coding - Programming(L2), Cross Functional Skills(L2), Cypress(L2), Desktop Virtualization(L2), Git(L2), GitHub Copilot(L2), GitHub(L2), Google Cloud Platform(L2), Integration Testing(L2), Jira(L2), Manual Testing(L3), Microsoft Azure(L2), Microsoft Excel, Microsoft SCOM(L2), Playwright(L2), Product Testing(L2), Project Delivery(L3), QA(L2), Quality Assurance(L2), Quality Framework(L2), Regression Testing(L2), Release Management(L2), SCCM Deployment(L2), Specification Language(L2), SQL(L2), System Center Operations Manager(L2), System Performance, Team Management(L2), Test Planning(L2), Testing Delivery, Testing(L3), Tricentis Tosca, Validation Framework(L2)","AZ-900 MICROSOFT AZURE FUNDAMENTALS(L2),AZURE OPENAI(L1),BANKING TESTING(L1),CLOUD AZURE ADMIN(L1),CLOUD AZURE ADMIN(L2),CLOUD-PAAS-AZURE(L1),CLOUD-PAAS-AZURE(L2),DATACENTER - WINTEL STACK(L1),DP-900 MICROSOFT AZURE DATA FUNDAMENTALS(L2),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GOOGLE GEN AI(L1),GOOGLE GEN AI(L2),GOOGLE GEN AI(L3),LINUX ADMIN(L1),MICROSOFT CERTIFIED AZURE AI ENGINEER ASSOCIATE(L2),MICROSOFT CERTIFIED AZURE AI FUNDAMENTALS(L1),MS AZURE AI ML(L2),NETWORKING ADMIN(L1),SELENIUM(L1),TOSCA TESTSUITE - TEST AUTOMATION(L1)","Azure OpenAI(L1),Banking Testing(L1),Cloud Azure Admin(L1),Cloud Azure Admin(L2),Cloud-PaaS-Azure(L1),Cloud-PaaS-Azure(L2),Datacenter - Wintel Stack(L1),English Language(L1),GCP Gen AI(L1),GCP Gen AI(L2),GCP Gen AI(L3),GIT-SCM - Version Control System(),GOOGLE CLOUD ADMIN(L2),Generative AI(L1),Linux Admin(L1),MS Azure AI ML(L2),Networking Admin(L1),Selenium(L1),Tosca Testsuite - Test Automation(L1)","APPLICATION TESTING,DATACENTER - WINTEL STACK,PRODUCT TESTING,QUALITY ASSURANCE",,Test Automation Engineer Java Selenium - L3
8086,Employee8086,WILP,25-04-2026,0-7 DAYS,OFFSHORE,KOCHI,0Years 0Months,Administrator L1,INDIA,"Azure Cloud Services(L2), Computer Networking(L2), Database(L2), ITIL Incident Mgmt(L2), MySQL(L2), Networking(L2), Node JS(L2), Postman Software(L2), Python Scripting(L2), React JSX(L2), Shell Programming(L2), Unix Admin(L2), Virtualization(L2), Windows Server Admin(L1)",,,,,
8087,Employee8087,GROUP B2,01-02-2026,61-90 DAYS,OFFSHORE,COIMBATORE,7Years 8Months,Test Engineer L3,INDIA,"Agile, Agile Methodologies, Automation Script, Automation(L4), Banking Applications(L5), Banking(L4), Business Operations(L5), Client-Server Architecture, Communication, Compliance, Contract Management(L5), Cross Functional Skills, Cucumber, Customer Relationship Management(L4), Data Driven Framework, Data Management(L4), Defect Tracking, Document Management(L5), Financial Services(L5), Functional Testing(L5), Gherkin, Group Discussion(L4), Jira(L5), Kenan Billing System(L4), Linux Applications(L4), Linux(L4), Loan Management(L4), Machine Learning(L3), Manual Testing(L5), Mobile Application Platform(L5), Mobile Platform(L5), Operating Systems, PL/SQL Oracle(L5), Planning, Problem Solving(L4), Project Management, Project Planning(L4), Quality Assurance, Quality Management(L5), Regression Testing(L5), Relational Databases(L3), Selenium Automation(L4), SQL, SQL Database(L4), SQL Testing(L4), System Testing, Teamwork(L5), Technical Proficiency(L5), Telecommunications(L5), Test Automation(L5), Test Execution(L5), Test Planning(L4), Testing(L5), Timely Delivery(L5), Training, Unix Platform Testing(L5), Unix(L4), User Acceptance Testing(L5)","BEHAVIORAL DRIVEN DEVELOPMENT TESTING(L1),CERTIFIED NEOLOAD PROFESSIONAL(L2),ENGLISH LANGUAGE(L1),NEOLOAD(L2),PERFORMANCE TESTING(L1),SELENIUM(L1),SELENIUM(L2),SPRING BOOT(L1),TOSCA TESTSUITE - TEST AUTOMATION(L1)","Amazon Web Services - AWS(L1),Appium(),Appium(0),Appium(0),Appium(L1),Appium(L2),Appium(L3),Behavioral Driven Development Testing(L1),English Language(L1),Neoload(L2),Performance Testing(L1),RedHat Linux(),RedHat Linux(L2),Selenium(),Selenium(L1),Selenium(L2),Spring Boot(L1),Tosca Testsuite - Test Automation(L1),WEGA for AI(L0),WEGA for AI(L3)",,,Test Automation Engineer Java Selenium - L3
8088,Employee8088,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Bootstrap(L5), Communication(L3), CSS(L5), Front End Web Development(L3), HTML(L5), Java(L3), JavaScript(L2), Microsoft Excel(L3), MySQL(L4), Python(L2), SAP",,,,,
8089,Employee8089,GROUP B2,01-01-2026,91-120 DAYS,OFFSHORE,HYDERABAD,8Years 10Months,Test Engineer L3,INDIA,"Agile Methodologies(L4), Agile SDLC Methodology, Agile(L4), Agile-Scrum(L3), Amazon Web Services (AWS), Automation(L2), Backend Testing, Clear Pipelines(L1), Coding - Programming(L1), Coding(L1), Collaboration(L3), Collections(L1), Cross Functional Skills(L4), Data Consistency(L4), Data Extraction(L4), Data Flow(L4), Data Validation(L4), Database Management(L3), Database(L3), Defect Tracking(L4), Design Execution(L4), Design(L3), Engineering(L2), ETL Testing, Functional Testing, GitHub(L2), Group Processes(L2), Healthcare(L4), Informatica PowerCenter, Integration, Jenkins Pipelines, Jenkins(L2), Jira(L4), Management(L3), Mapping(L3), OpenShift(L1), Operational Data Store(L2), Oracle Data Base, Oracle Database(L3), Oracle Toad, Oracle(L4), Planning(L3), Project Delivery(L3), Project Engineering, Project Management, Project Planning, QA(L4), Quality Engineering(L4), Quality Reporting(L4), Query Builder(L3), Regression Testing(L4), Release Testing(L4), Reporting(L3), Scenario Testing(L4), Selenium, Solutioning(L3), SQL(L3), Team Collaboration(L4), Teamwork(L3), Technology (Alight It)(L3), Test Automation, Test Case Design(L4), Test Design(L4), Test Execution(L4), Test Planning(L4), Testing Tools(L3), Testing(L3), Troubleshooting(L2), TypeScript(L3), Validation Testing(L3), Workflow(L2), XML(L3), Zephyr Test Management","BANKING TESTING(L3),ENGLISH LANGUAGE(L1),ETL TESTING(L1),INFORMATICA POWERCENTER(L1),INSURANCE TESTING(L2),JAVASCRIPT(L1),ORACLE SQL(L1),ORACLE SQL(L2),RETAIL APP TESTING(L2),SELENIUM(L1),SELENIUM(L2),SFDC TESTING(L2),TYPESCRIPT(L1)","Banking Testing(L1),Banking Testing(L3),ETL Testing(),ETL Testing(L1),Informatica Powercenter(L1),Insurance Testing(L2),JavaScript(L1),Oracle SQL(L1),Oracle SQL(L2),Retail App Testing(L2),SELENIUM(L1),SFDC Testing(),SFDC Testing(0),SFDC Testing(L2),SFDC Testing(L2),Selenium(L1),Selenium(L2),Tosca Testsuite - Test Automation(),TypeScript(L1),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,TEST AUTOMATION ENGINEER TOSCA SFDC - L3
8090,Employee8090,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Communication, Introdution to Cyber Security, Listening Skills, Python Essentials by Cisco, Quick Thinking",,,,,
8091,Employee8091,WILP,30-03-2026,16-30 DAYS,OFFSHORE,CHENNAI,0Years 0Months,Administrator L1,INDIA,"Agile Methodologies(L2), Arduino, Automation Testing(L2), Automation(L2), Aws Cloud Operations, Cloud Computing(L1), Cloud(L1), CSS(L2), Excel(L2), HTML(L3), IoT(L2), Java, Manual Testing(L3), Networking(L2), RFID, RFID Reader, SQL(L3), Test Automation(L2), Typewriters(L5), VPN(L1)",,,,,
8092,Employee8092,GROUP B2,24-01-2026,61-90 DAYS,OFFSHORE,BENGALURU,8Years 2Months,Test Engineer L3,INDIA,"Agile-Scrum(L2), Analysis(L3), Analytics(L2), API Testing(L3), API(L3), Auditing(L2), Automation Testing(L3), Automation(L2), Banking(L2), Business Communication(L2), Business Etiquette(L2), Business Requirements(L2), Candidate Engagement(L3), Closing(L2), Code Quality(L2), Coding - Programming(L2), Communication(L5), Compliance(L2), Computer Applications(L2), Consulting(L3), Coordination(L3), Data Analysis(L2), Data Driven Framework(L2), Defect Analysis(L2), Defect Management Tools(L2), Defect Management(L2), Documentation(L4), Eclipse IDE(L2), Eclipse(L2), English(L5), Finance(L2), Financial Analysis(L2), Hindi Language(L5), Hiring(L3), HR Operations(L2), HTML(L2), IDE(L2), Implementation(L2), Interviewing(L2), Jira(L3), Language Skills(L2), Leadership(L2), Logging(L3), Management(L3), Manual Testing(L3), Marketing(L3), Microsoft Excel(L3), Microsoft PowerPoint(L3), Onboarding(L3), Operating Systems(L2), Operations(L2), Postman Software(L4), Postman(L3), Presentation Skills(L2), Process Improvement(L2), Programming Languages(L2), Programming(L2), Project Delivery(L3), Quality Framework(L2), Recruiting(L4), Recruitment Process(L3), Recruitment Tools(L3), Regression Testing(L3), Reporting(L2), Scenario Testing(L2), Screening(L4), Scrum(L2), Selenium Automation(L3), Software as a Product(L2), Software Testing(L3), Sourcing(L3), Support(L4), Talent Acquisition(L4), Teamwork(L4), Technical Proficiency(L2), Test Automation(L3), Test Reporting(L2), Test Scripting(L2), Testing Process(L2), Testing Tools(L3), Testing(L2), Tool Management(L2), TOSCA(L3), Tricentis Tosca(L4), Ubuntu(L2), Usability(L2), Verbal Communication(L4), Web Browsers(L2), Writing(L3), XPath(L2)",ENGLISH LANGUAGE(L1),"GITHUB COPILOT(L2),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)",,,Test Automation Engineer Java Selenium - L3
8093,Employee8093,GROUP B3,22-04-2026,0-7 DAYS,OFFSHORE,PUNE,8Years 0Months,Technical Lead L1,INDIA,,,,,,
8094,Employee8094,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Collections(L2), Communication, Compilers, Computer Applications, Computer Software, Core Java(L4), CSS(L2), Database Management System(L2), Exception Handling(L3), Functional Skills, HTML(L2), Information Systems, Java Database Connectivity(L2), Microsoft Excel, Microsoft Word, Multithreading, MySQL(L3), Problem Solving(L2), Programming, SQL(L3), Technology (Alight It), Training, Typecasting(L2)",,AMAZON WEB SERVICES - AWS(L1),,,
8095,Employee8095,GROUP B2,13-04-2026,8-15 DAYS,OFFSHORE,CHENNAI,6Years 0Months,Developer L3,INDIA,"Amazon Web Services(L4), Ansible(L3), AWS CloudFormation(L2), Aws(L3), CI/CD(L2), Cloud Aws DevOps(L3), Cloud Computing(L2), Docker(L2), Elk(L2), Git(L2), GitHub(L2), Graphana(L3), Jenkins(L2), Kubernetes(L3), Linux(L2), Prometheus(L3), Python(L2), Terraform(L2)",,,,,
8096,Employee8096,WILP,30-03-2026,16-30 DAYS,OFFSHORE,HYDERABAD,0Years 0Months,Administrator L1,INDIA,"Basics of C and Java(L2), Cloud Computing(L2), Communication(L2), Dbms(L2), Installation of Apache TOMCAT(L3), Linux Basics(L2), MS Office(L2), Networking(L2), Virtual Machine Installation(L3), Windows Installation(L2)",,,,,
8097,Employee8097,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"C(L2), C++(L2), Cisco Packet Tracer(L2), CSS(L3), Dbms(L3), Gitbash(L2), HTML(L3), Java Programming(L2), JavaScript(L3), MySQL(L3), PHP(L3), phpMyAdmin(L3), Python(L2), SQL(L3), WordPress Admin(L3), WordPress(L3)",,,,,
8098,Employee8098,GROUP B2,11-02-2026,61-90 DAYS,OFFSHORE,VISAKHAPATNAM,7Years 10Months,Test Engineer L3,INDIA,"Active Communication(L5), Agile-Scrum(L4), Art(L3), Behavior Driven Development(L5), Black Box Testing(L4), Business Communication(L5), Business Writing(L5), Coding - Programming(L3), Communication(L5), Concept Testing(L5), Defect Management(L5), End to End Testing(L5), Functional Testing(L5), Listening Skills(L5), Manual Testing(L5), Multithreading(L4), Persuasive Communication(L5), Presentation Skills(L4), Professionalism(L5), Project Delivery(L5), Pronunciation(L5), Quality Assurance(L5), Regression Testing(L4), Scripting(L5), Security Testing(L4), Software Testing(L5), System Testing(L4), Technical Testing(L5), Test Cases(L5), Test Design(L5), Test Execution(L5), Test Management(L4), Test Planning(L4), Testing Tools(L5), Testing(L5), TestNG(L4)","CLOUD-MICROSOFT AZURE(L1),ENGLISH LANGUAGE(L1),INTEGRATION TESTING(L1),PERFORMANCE TESTING(L1),PERFORMANCE TESTING(L3),PYTHON SCRIPTING(L1),PYTHON SCRIPTING(L2),SELENIUM(L1)","API Automation Testing(),API Automation Testing(L1),Amazon Web Services - AWS(L1),Appium(),Appium(),Cloud-Microsoft Azure(L1),Performance Testing(L1),Performance Testing(L3),Python Scripting(L1),Python Scripting(L2),RedHat Linux(),Selenium(L1),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3),WEGA for AI(L3)",,,Test Automation Engineer Java Selenium - L3
8099,Employee8099,GROUP B3,17-04-2026,8-15 DAYS,OFFSHORE,BENGALURU,7Years 0Months,DevOps Lead L1,INDIA,,,,,,
8100,Employee8100,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"C(L3), Core Java(L3), CSS(L3), HTML(L4), Python(L3), SQL(L3)",,,,,
8101,Employee8101,WILP,30-03-2026,16-30 DAYS,OFFSHORE,BENGALURU,0Years 0Months,Administrator L1,INDIA,"Adaptability(L3), Artificial Intelligence(L2), Blockchain(L2), Business English(L2), C, C++, Communication(L3), Core Java(L1), Cybersecurity(L2), Data Science, Data Structures, Database Management(L3), English(L3), Flask, Generative AI Prompt Engineering(L2), Generative AI(L2), Git(L2), Google Docs, Google Sheets, HTML(L3), JavaScript(L3), Machine Learning(L2), Microsoft Excel(L4), Microsoft PowerPoint, Microsoft Word(L4), MySQL(L3), Pandas(L1), PostgreSQL, Problem Solving(L3), Programming(L1), Python(L4), scikit-learn, Solutioning(L1), Teamwork(L4), Time Management(L4), Visual Studio Code, Visual Studio(L1), Web Applications(L1), Web Development(L1)",,,,,
